Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h)
1950,1,1,-3.9,-8.9,-6.4,24.4,0,0,0,0,NaN,NaN,NaN
1950,1,2,0,-9.4,-4.7,22.7,0,0,0,0,NaN,NaN,NaN
1950,1,3,1.7,-6.1,-2.2,20.2,0,1,0,1,NaN,NaN,NaN
1950,1,4,7.8,-1.1,3.4,14.6,0,4.8,0,4.8,NaN,NaN,NaN
1950,1,5,8.3,-2.8,2.8,15.2,0,0,0,0,NaN,NaN,NaN
1950,1,6,-8.3,-12.2,-10.3,28.3,0,0,0,0,NaN,NaN,NaN
1950,1,7,-5.6,-10.6,-8.1,26.1,0,0,3,3,NaN,NaN,NaN
1950,1,8,-5,-8.9,-7,25,0,0,6.9,6.9,NaN,NaN,NaN
1950,1,9,-12.2,-15.6,-13.9,31.9,0,0,0.8,0.8,NaN,NaN,NaN
1950,1,10,-12.2,-17.2,-14.7,32.7,0,0,0,0,NaN,NaN,NaN
1950,1,11,0.6,-16.1,-7.8,25.8,0,0,9.1,9.1,NaN,NaN,NaN
1950,1,12,-3.3,-5.6,-4.5,22.5,0,0,1.5,1.5,NaN,NaN,NaN
1950,1,13,-3.9,-8.3,-6.1,24.1,0,0,0,0,NaN,NaN,NaN
1950,1,14,5.6,-6.7,-0.6,18.6,0,14.2,0.3,14.5,NaN,NaN,NaN
1950,1,15,1.7,-4.4,-1.4,19.4,0,0,1,1,NaN,NaN,NaN
1950,1,16,1.7,-11.1,-4.7,22.7,0,0,2,2,NaN,NaN,NaN
1950,1,17,-1.1,-9.4,-5.3,23.3,0,0,0.3,0.3,NaN,NaN,NaN
1950,1,18,5,-12.8,-3.9,21.9,0,0.5,3.8,4.3,NaN,NaN,NaN
1950,1,19,-0.6,-8.3,-4.5,22.5,0,0,0.3,0.3,NaN,NaN,NaN
1950,1,20,-6.1,-12.2,-9.2,27.2,0,0,0,0,NaN,NaN,NaN
1950,1,21,-12.8,-16.1,-14.5,32.5,0,0,0,0,NaN,NaN,NaN
1950,1,22,-2.8,-15.6,-9.2,27.2,0,0,1.5,1.5,NaN,NaN,NaN
1950,1,23,-0.6,-11.1,-5.9,23.9,0,0,2.3,2.3,NaN,NaN,NaN
1950,1,24,-9.4,-14.4,-11.9,29.9,0,0,0.8,0.8,NaN,NaN,NaN
1950,1,25,0,-16.7,-8.4,26.4,0,0.3,6.1,6.4,NaN,NaN,NaN
1950,1,26,4.4,-8.9,-2.3,20.3,0,0,0,0,NaN,NaN,NaN
1950,1,27,1.7,-3.9,-1.1,19.1,0,0,0.8,0.8,NaN,NaN,NaN
1950,1,28,-11.7,-15,-13.4,31.4,0,0,0,0,NaN,NaN,NaN
1950,1,29,6.7,-15.6,-4.5,22.5,0,4.8,0.5,5.3,NaN,NaN,NaN
1950,1,30,7.2,-3.9,1.7,16.3,0,4.1,0,4.1,NaN,NaN,NaN
1950,1,31,-8.3,-12.2,-10.3,28.3,0,0,0,0,NaN,NaN,NaN
1950,2,1,-7.8,-12.2,-10,28,0,0,0,0,NaN,NaN,NaN
1950,2,2,-5,-13.3,-9.2,27.2,0,0,0,0,NaN,NaN,NaN
1950,2,3,-5,-14.4,-9.7,27.7,0,0,23.9,23.9,NaN,NaN,NaN
1950,2,4,-8.3,-10.6,-9.5,27.5,0,0,0.5,0.5,NaN,NaN,NaN
1950,2,5,-6.1,-15,-10.6,28.6,0,0,6.9,6.9,NaN,NaN,NaN
1950,2,6,-15,-23.3,-19.2,37.2,0,0,0.3,0.3,NaN,NaN,NaN
1950,2,7,-10.6,-17.2,-13.9,31.9,0,0,10.2,10.2,NaN,NaN,NaN
1950,2,8,-12.2,-16.7,-14.5,32.5,0,0,0.8,0.8,NaN,NaN,NaN
1950,2,9,1.1,-17.8,-8.4,26.4,0,0.5,2.3,2.8,NaN,NaN,NaN
1950,2,10,5,-7.2,-1.1,19.1,0,4.3,0,4.3,NaN,NaN,NaN
1950,2,11,-4.4,-11.1,-7.8,25.8,0,0,0,0,NaN,NaN,NaN
1950,2,12,-2.2,-7.8,-5,23,0,0,11.2,11.2,NaN,NaN,NaN
1950,2,13,-5,-8.3,-6.7,24.7,0,0,0.3,0.3,NaN,NaN,NaN
1950,2,14,-7.2,-11.1,-9.2,27.2,0,0,8.1,8.1,NaN,NaN,NaN
1950,2,15,-6.1,-11.7,-8.9,26.9,0,0,0,0,NaN,NaN,NaN
1950,2,16,-4.4,-11.7,-8.1,26.1,0,0,3.3,3.3,NaN,NaN,NaN
1950,2,17,-2.2,-7.8,-5,23,0,0,5.6,5.6,NaN,NaN,NaN
1950,2,18,-3.3,-4.4,-3.9,21.9,0,0,0.3,0.3,NaN,NaN,NaN
1950,2,19,0.6,-6.7,-3.1,21.1,0,0,0,0,NaN,NaN,NaN
1950,2,20,3.3,-12.2,-4.5,22.5,0,18.8,0,18.8,NaN,NaN,NaN
1950,2,21,2.8,-6.7,-2,20,0,0,2.8,2.8,NaN,NaN,NaN
1950,2,22,-7.8,-11.7,-9.8,27.8,0,0,0.5,0.5,NaN,NaN,NaN
1950,2,23,3.9,-14.4,-5.3,23.3,0,4.6,9.7,14.2,NaN,NaN,NaN
1950,2,24,2.8,-10,-3.6,21.6,0,0,2.3,2.3,NaN,NaN,NaN
1950,2,25,-2.8,-11.7,-7.3,25.3,0,0,9.1,9.1,NaN,NaN,NaN
1950,2,26,-3.9,-7.2,-5.6,23.6,0,0,6.6,6.6,NaN,NaN,NaN
1950,2,27,-4.4,-7.8,-6.1,24.1,0,0,4.8,4.8,NaN,NaN,NaN
1950,2,28,-3.9,-7.8,-5.9,23.9,0,0,0.5,0.5,NaN,NaN,NaN
1950,3,1,0.6,-8.9,-4.2,22.2,0,3.6,6.4,9.9,NaN,NaN,NaN
1950,3,2,6.1,-5.6,0.3,17.7,0,7.1,0.3,7.4,NaN,NaN,NaN
1950,3,3,-0.6,-6.7,-3.7,21.7,0,0,7.6,7.6,NaN,NaN,NaN
1950,3,4,-8.3,-14.4,-11.4,29.4,0,0,0.5,0.5,NaN,NaN,NaN
1950,3,5,-3.3,-16.7,-10,28,0,0,0.3,0.3,NaN,NaN,NaN
1950,3,6,2.2,-10.6,-4.2,22.2,0,4.8,11.7,16.5,NaN,NaN,NaN
1950,3,7,-4.4,-7.2,-5.8,23.8,0,0,6.1,6.1,NaN,NaN,NaN
1950,3,8,-1.7,-9.4,-5.6,23.6,0,0,0,0,NaN,NaN,NaN
1950,3,9,3.9,-6.1,-1.1,19.1,0,7.1,0,7.1,NaN,NaN,NaN
1950,3,10,0,-3.9,-2,20,0,5.1,0.8,5.8,NaN,NaN,NaN
1950,3,11,-6.7,-9.4,-8.1,26.1,0,0,1.8,1.8,NaN,NaN,NaN
1950,3,12,-5.6,-11.1,-8.4,26.4,0,0,6.1,6.1,NaN,NaN,NaN
1950,3,13,-7.8,-12.2,-10,28,0,0,0,0,NaN,NaN,NaN
1950,3,14,-5.6,-14.4,-10,28,0,0,8.4,8.4,NaN,NaN,NaN
1950,3,15,-6.1,-13.3,-9.7,27.7,0,0,0.3,0.3,NaN,NaN,NaN
1950,3,16,-3.9,-12.2,-8.1,26.1,0,0,1,1,NaN,NaN,NaN
1950,3,17,-5,-10.6,-7.8,25.8,0,0,3.6,3.6,NaN,NaN,NaN
1950,3,18,-1.1,-10.6,-5.9,23.9,0,0,6.1,6.1,NaN,NaN,NaN
1950,3,19,1.1,-8.3,-3.6,21.6,0,0,6.4,6.4,NaN,NaN,NaN
1950,3,20,-3.9,-7.2,-5.6,23.6,0,0,1.5,1.5,NaN,NaN,NaN
1950,3,21,-3.3,-11.1,-7.2,25.2,0,0,0,0,NaN,NaN,NaN
1950,3,22,-2.8,-10.6,-6.7,24.7,0,0,0,0,NaN,NaN,NaN
1950,3,23,3.9,-11.1,-3.6,21.6,0,0,0,0,NaN,NaN,NaN
1950,3,24,2.2,-7.8,-2.8,20.8,0,17.5,0,17.5,NaN,NaN,NaN
1950,3,25,2.2,-1.1,0.6,17.4,0,0,0,0,NaN,NaN,NaN
1950,3,26,3.9,-2.8,0.6,17.4,0,0,0,0,NaN,NaN,NaN
1950,3,27,-1.1,-6.7,-3.9,21.9,0,0,0,0,NaN,NaN,NaN
1950,3,28,1.1,-9.4,-4.2,22.2,0,2,0,2,NaN,NaN,NaN
1950,3,29,9.4,-2.8,3.3,14.7,0,2.3,0,2.3,NaN,NaN,NaN
1950,3,30,11.7,2.2,7,11,0,3.6,0,3.6,NaN,NaN,NaN
1950,3,31,1.1,-3.3,-1.1,19.1,0,0.5,0,0.5,NaN,NaN,NaN
1950,4,1,4.4,-4.4,0,18,0,19.8,0.3,20.1,NaN,NaN,NaN
1950,4,2,1.7,-1.1,0.3,17.7,0,0,0,0,NaN,NaN,NaN
1950,4,3,0,-5.6,-2.8,20.8,0,0.3,1.5,1.8,NaN,NaN,NaN
1950,4,4,2.8,-1.7,0.6,17.4,0,0,0.5,0.5,NaN,NaN,NaN
1950,4,5,10,-1.1,4.5,13.5,0,1.5,0,1.5,NaN,NaN,NaN
1950,4,6,9.4,0,4.7,13.3,0,4.3,0,4.3,NaN,NaN,NaN
1950,4,7,0,-3.3,-1.7,19.7,0,1.3,6.9,8.1,NaN,NaN,NaN
1950,4,8,6.7,-5,0.9,17.1,0,10.7,2,12.7,NaN,NaN,NaN
1950,4,9,12.8,-0.6,6.1,11.9,0,0,0,0,NaN,NaN,NaN
1950,4,10,0.6,-3.9,-1.7,19.7,0,6.9,0,6.9,NaN,NaN,NaN
1950,4,11,2.2,-1.7,0.3,17.7,0,8.6,8.1,16.8,NaN,NaN,NaN
1950,4,12,3.3,-1.1,1.1,16.9,0,0,6.1,6.1,NaN,NaN,NaN
1950,4,13,6.1,-1.1,2.5,15.5,0,0,0,0,NaN,NaN,NaN
